2024-01-22 07:26:03.197 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-01-22 07:26:03.197 [info] Added views:workbench.panel.output in workbench.panel.output
2024-01-22 07:26:03.197 [info] Added views:terminal in terminal
2024-01-22 07:26:03.197 [info] Added views:outline in workbench.view.explorer
2024-01-22 07:26:03.197 [info] Added views:workbench.scm in workbench.view.scm
2024-01-22 07:26:03.197 [info] Added views:workbench.view.search in workbench.view.search
2024-01-22 07:26:03.197 [info] Added views:timeline in workbench.view.explorer
2024-01-22 07:26:03.197 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-01-22 07:26:03.548 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2024-01-22 07:26:03.721 [info] Added views:pr:github,issues:github in workbench.view.extension.github-pull-requests
2024-01-22 07:26:04.024 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-01-22 07:26:04.029 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:26:04.029 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-22 07:26:04.527 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-01-22 07:26:05.441 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-01-22 07:26:51.077 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-01-22 07:26:54.134 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-22 07:26:54.155 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-22 07:27:05.452 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:27:05.470 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-22 07:27:10.519 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-22 07:27:10.535 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-22 07:27:11.327 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:27:11.345 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-22 07:27:33.873 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-22 07:27:33.889 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-22 07:27:34.675 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:27:34.692 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-22 07:27:56.314 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-22 07:27:56.330 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-22 07:27:57.121 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:27:57.139 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-22 07:28:31.878 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-22 07:28:31.895 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-22 07:28:32.684 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-22 07:28:32.704 [info] Added views:workbench.debug.welcome in workbench.view.debug
